kode_provinsi,nama_provinsi,kode_kabkota,nama_kabkota,tahun,jumlah_penduduk_miskin,persen_penduduk_miskin,indeks_p1,indeks_p2,garis_kemiskinan
12,Prov. Sumatera Utara,1208,Kab. Asahan,2010,76300,11.42,1.53,0.35,224417
12,Prov. Sumatera Utara,1209,Kab. Simalungun,2007,124400,14.84,2.4,0.61,169699
12,Prov. Sumatera Utara,1209,Kab. Simalungun,2008,124600,14.75,2.39,0.63,201811
12,Prov. Sumatera Utara,1209,Kab. Simalungun,2009,107500,12.67,1.93,0.48,210265
12,Prov. Sumatera Utara,1209,Kab. Simalungun,2010,87700,10.73,1.8,0.49,233391
12,Prov. Sumatera Utara,1210,Kab. Dairi,2007,42200,15.82,1.98,0.38,154046
12,Prov. Sumatera Utara,1210,Kab. Dairi,2008,29800,11.07,1.72,0.36,165193
12,Prov. Sumatera Utara,1210,Kab. Dairi,2009,27100,10.03,1.63,0.36,196523
12,Prov. Sumatera Utara,1210,Kab. Dairi,2010,26900,9.97,1.3,0.26,218138
12,Prov. Sumatera Utara,1211,Kab. Karo,2007,50500,14.47,2.18,0.49,223830
12,Prov. Sumatera Utara,1211,Kab. Karo,2008,46100,12.86,4.47,1.64,236371
12,Prov. Sumatera Utara,1211,Kab. Karo,2009,41800,11.42,1.32,0.23,257833
12,Prov. Sumatera Utara,1211,Kab. Karo,2010,38700,11.02,1.52,0.31,286191
12,Prov. Sumatera Utara,1212,Kab. Deli Serdang,2007,94800,5.67,1.06,0.25,156821
12,Prov. Sumatera Utara,1212,Kab. Deli Serdang,2008,89000,5.16,0.95,0.27,182786
12,Prov. Sumatera Utara,1212,Kab. Deli Serdang,2009,91400,5.17,0.53,0.09,216408
12,Prov. Sumatera Utara,1212,Kab. Deli Serdang,2010,96000,5.34,0.45,0.07,241274
12,Prov. Sumatera Utara,1213,Kab. Langkat,2007,185800,18.23,3.31,0.9,186595
12,Prov. Sumatera Utara,1213,Kab. Langkat,2008,153000,14.81,2.97,0.76,216320
12,Prov. Sumatera Utara,1213,Kab. Langkat,2009,133100,12.75,1.67,0.36,221625
12,Prov. Sumatera Utara,1213,Kab. Langkat,2010,104800,10.84,1.92,0.51,247090
12,Prov. Sumatera Utara,1214,Kab. Nias Selatan,2007,91100,33.84,5.72,1.5,128852
12,Prov. Sumatera Utara,1214,Kab. Nias Selatan,2008,65800,24.36,2.78,0.56,164154
12,Prov. Sumatera Utara,1214,Kab. Nias Selatan,2009,59900,22.19,3.48,0.81,170227
12,Prov. Sumatera Utara,1214,Kab. Nias Selatan,2010,60100,20.72,2.51,0.48,185825
12,Prov. Sumatera Utara,1215,Kab. Humbang Hasundutan,2007,28400,18.84,2.34,0.42,162593
12,Prov. Sumatera Utara,1215,Kab. Humbang Hasundutan,2008,20000,12.99,1.9,0.43,184341
12,Prov. Sumatera Utara,1215,Kab. Humbang Hasundutan,2009,17600,11.31,1.8,0.47,187938
12,Prov. Sumatera Utara,1215,Kab. Humbang Hasundutan,2010,18200,10.6,1.61,0.41,208826
12,Prov. Sumatera Utara,1216,Kab. Pakpak Bharat,2007,8600,22.42,3.84,0.92,121844
12,Prov. Sumatera Utara,1216,Kab. Pakpak Bharat,2008,6100,15.02,2.23,0.51,142420
12,Prov. Sumatera Utara,1216,Kab. Pakpak Bharat,2009,5900,13.99,1.29,0.24,159142
12,Prov. Sumatera Utara,1216,Kab. Pakpak Bharat,2010,5600,18.78,1.32,0.2,176830
12,Prov. Sumatera Utara,1217,Kab. Samosir,2007,36100,27.76,4.29,1.13,153888
12,Prov. Sumatera Utara,1217,Kab. Samosir,2008,24400,18.76,22.72,0.54,156352
12,Prov. Sumatera Utara,1217,Kab. Samosir,2009,22800,17.55,2.02,0.38,181619
12,Prov. Sumatera Utara,1217,Kab. Samosir,2010,19700,16.5,2.69,0.66,201595
12,Prov. Sumatera Utara,1218,Kab. Serdang Bedagai,2007,72600,11.84,1.43,0.45,172585
12,Prov. Sumatera Utara,1218,Kab. Serdang Bedagai,2008,66300,10.61,1.87,0.52,194387
12,Prov. Sumatera Utara,1218,Kab. Serdang Bedagai,2009,60400,9.51,1.25,0.22,223753
12,Prov. Sumatera Utara,1218,Kab. Serdang Bedagai,2010,62900,10.59,1.69,0.39,248363
12,Prov. Sumatera Utara,1219,Kab. Batu Bara,2007,67700,17.89,3.05,0.87,164931
12,Prov. Sumatera Utara,1219,Kab. Batu Bara,2008,51700,13.64,1.76,0.34,189552
12,Prov. Sumatera Utara,1219,Kab. Batu Bara,2009,49500,12.87,1.64,0.34,232538
12,Prov. Sumatera Utara,1219,Kab. Batu Bara,2010,46100,12.28,1.89,0.48,253846
12,Prov. Sumatera Utara,1220,Kab. Padang Lawas Utara,2009,22700,11.83,1.93,0.48,191446
12,Prov. Sumatera Utara,1220,Kab. Padang Lawas Utara,2010,25000,11.19,1.78,0.43,208989
12,Prov. Sumatera Utara,1221,Kab. Padang Lawas,2009,21900,11.9,1.67,0.36,191357
12,Prov. Sumatera Utara,1221,Kab. Padang Lawas,2010,25000,11.13,1.42,0.27,208891
12,Prov. Sumatera Utara,1222,Kab. Labuhan Batu Selatan,2010,43400,15.58,2.53,0.64,247824
12,Prov. Sumatera Utara,1223,Kab. Labuhan Batu Utara,2010,40900,12.32,2.02,0.55,263914
12,Prov. Sumatera Utara,1224,Kab. Nias Utara,2010,40700,31.9,5.23,1.35,258680
12,Prov. Sumatera Utara,1225,Kab. Nias Barat,2010,25200,30.89,7.22,2.52,254429
12,Prov. Sumatera Utara,1271,Kota Sibolga,2007,9000,9.73,1.85,0.5,179033
12,Prov. Sumatera Utara,1271,Kota Sibolga,2008,16600,17.67,2.46,0.52,224259
12,Prov. Sumatera Utara,1271,Kota Sibolga,2009,15000,15.82,2.36,0.56,258135
12,Prov. Sumatera Utara,1271,Kota Sibolga,2010,11700,13.9,1.77,0.36,286825
12,Prov. Sumatera Utara,1272,Kota Tanjung Balai,2007,18200,11.52,1.51,0.34,178698
12,Prov. Sumatera Utara,1272,Kota Tanjung Balai,2008,29800,18.35,2.2,0.45,233772
12,Prov. Sumatera Utara,1272,Kota Tanjung Balai,2009,28300,17.1,3.42,1.06,234091
12,Prov. Sumatera Utara,1272,Kota Tanjung Balai,2010,25200,16.31,2.65,0.72,259838
12,Prov. Sumatera Utara,1273,Kota Pematang Siantar,2007,22000,9.46,0.89,0.16,199185
12,Prov. Sumatera Utara,1273,Kota Pematang Siantar,2008,31600,13.36,2.19,0.54,241238
12,Prov. Sumatera Utara,1273,Kota Pematang Siantar,2009,29100,12.25,1.53,0.35,285863
12,Prov. Sumatera Utara,1273,Kota Pematang Siantar,2010,27500,11.72,1.55,0.31,317304
12,Prov. Sumatera Utara,1274,Kota Tebing Tinggi,2007,13400,9.67,0.93,0.15,189744
12,Prov. Sumatera Utara,1274,Kota Tebing Tinggi,2008,23100,16.5,2.32,0.53,237294
12,Prov. Sumatera Utara,1274,Kota Tebing Tinggi,2009,20500,14.58,2.1,0.55,254387
12,Prov. Sumatera Utara,1274,Kota Tebing Tinggi,2010,19000,13.04,1.87,0.41,282366
12,Prov. Sumatera Utara,1275,Kota Medan,2007,148100,7.17,1.39,0.35,201330
12,Prov. Sumatera Utara,1275,Kota Medan,2008,217300,10.43,1.87,0.46,240319
12,Prov. Sumatera Utara,1275,Kota Medan,2009,200400,9.58,1.4,0.35,297478
